name,gene,A133.T,A134.T,A140.T,A144.T,A152.T,A133.N,A134.N,A140.N,A144.N,A152.N
ENSG00000225077,ICMT-DT,3,3,14,14,6,0,1,10,1,1
ENSG00000173673,HES3,0,0,0,0,0,0,0,0,0,0
ENSG00000158292,GPR153,1655,1951,1430,2042,349,217,45,204,143,114
ENSG00000097021,ACOT7,439,1484,706,902,479,180,102,256,221,114
ENSG00000271746,ENSG00000271746,0,0,0,0,0,0,0,0,0,0
ENSG00000069812,HES2,550,428,1082,931,51,0,0,0,0,2
ENSG00000187017,ESPN,406,452,783,1319,180,35,50,76,36,12
ENSG00000265392,MIR4252,0,0,0,0,0,0,0,0,0,0
ENSG00000231868,ENSG00000231868,12,2,1,23,8,1,1,0,0,0
ENSG00000215788,TNFRSF25,1998,2611,2159,1536,906,2748,3407,4528,3181,747
ENSG00000171680,PLEKHG5,2503,2959,3534,3266,1189,230,260,189,224,49
ENSG00000162408,NOL9,1344,1484,792,600,504,1039,978,1006,973,631
ENSG00000253022,RNU6-731P,1,0,1,0,2,0,0,0,0,0
ENSG00000229519,ENSG00000229519,8,8,2,4,3,22,19,13,26,8
ENSG00000173662,TAS1R1,16,31,12,2,1,8,7,8,3,5
ENSG00000204859,ZBTB48,1729,2256,1359,1190,707,1264,1529,1593,1560,1900
ENSG00000162413,KLHL21,2673,3318,2797,2428,1097,1321,1444,1564,1659,1195
ENSG00000116273,PHF13,957,1969,1003,844,651,327,290,272,245,172
ENSG00000041988,THAP3,448,951,365,274,331,272,323,409,278,294
ENSG00000007923,DNAJC11,1205,2148,1315,807,907,749,791,910,930,709
ENSG00000228750,LINC01672,0,0,0,0,0,1,0,0,0,0
ENSG00000284744,ENSG00000284744,0,0,0,0,0,0,0,0,0,0
ENSG00000237436,CAMTA1-DT,2,9,6,7,6,10,7,5,10,4
ENSG00000171735,CAMTA1,563,1257,777,394,330,324,357,307,383,298
ENSG00000227950,ENSG00000227950,0,1,0,0,0,0,1,1,0,0
ENSG00000237365,CAMTA1-AS3,0,0,0,0,0,0,0,0,0,0
ENSG00000207056,RNU1-8P,0,0,0,0,0,0,0,0,0,0
ENSG00000237402,CAMTA1-IT1,2,3,1,1,1,0,0,0,0,0
ENSG00000237728,CAMTA1-AS2,0,0,0,0,0,0,0,0,0,0
ENSG00000225126,CAMTA1-AS1,2,2,0,0,0,0,0,0,0,0
ENSG00000270171,ENSG00000270171,2,1,15,1,0,0,0,1,0,0
ENSG00000270035,ENSG00000270035,11,3,27,2,1,1,1,1,0,0
ENSG00000269978,ENSG00000269978,8,20,9,10,1,3,0,1,1,1
ENSG00000049245,VAMP3,2959,5305,2164,1800,1186,2676,1974,2302,2159,2115
ENSG00000269925,ENSG00000269925,32,50,18,29,37,92,57,73,51,68
ENSG00000049246,PER3,390,651,203,727,204,160,137,105,230,79
ENSG00000236266,ENSG00000236266,4,7,3,6,4,2,4,5,5,0
ENSG00000049247,UTS2,15,30,4,8,4,10,12,24,17,40
ENSG00000049249,TNFRSF9,115,757,102,65,61,41,32,93,97,343
ENSG00000270330,ENSG00000270330,0,0,0,0,0,0,0,1,0,4
ENSG00000116288,PARK7,2752,6816,2749,1708,1846,2300,2020,2591,2360,2200
ENSG00000200344,Y_RNA,6,12,1,1,10,1,0,5,1,1
ENSG00000284747,ENSG00000284747,43,102,44,21,63,45,26,43,46,28
ENSG00000284716,ENSG00000284716,0,1,0,3,5,2,0,0,2,3
ENSG00000116285,ERRFI1,1475,5063,1561,1594,6332,124,34,49,39,50
ENSG00000238290,ERRFI1-DT,9,9,4,2,11,0,0,0,0,0
ENSG00000232848,RPL7AP18,0,0,0,0,1,0,0,0,0,0
ENSG00000229305,ENSG00000229305,0,0,0,0,0,0,0,0,0,0
ENSG00000227634,LINC01714,0,1,0,1,0,0,0,0,0,0
ENSG00000200975,RNU1-7P,0,0,0,0,0,0,0,0,0,0
ENSG00000233645,ENSG00000233645,0,0,0,0,0,0,0,0,0,0
ENSG00000251977,RNU6-991P,0,0,0,0,0,0,0,0,0,0
ENSG00000162426,SLC45A1,112,179,30,17,33,26,11,29,18,16
ENSG00000252254,Y_RNA,0,0,0,0,0,0,0,3,0,0
ENSG00000142599,RERE,6152,8073,3734,2334,2894,4584,5186,6734,5660,5098
ENSG00000232912,RERE-AS1,38,19,6,2,7,21,49,46,43,65
ENSG00000221083,ENSG00000221083,2,5,1,0,5,0,0,0,1,0
ENSG00000270282,ENSG00000270282,5,2,0,0,2,1,0,0,1,0
ENSG00000234619,RPL7P11,2,0,0,0,1,0,0,0,1,2
ENSG00000224315,RPL7P7,4,1,1,0,0,0,1,0,0,0
ENSG00000222511,Y_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000226545,ENSG00000226545,0,0,0,0,1,0,1,0,1,0
ENSG00000228423,ENSG00000228423,3,0,2,0,0,0,2,0,1,0
ENSG00000229716,RPL23AP19,0,0,0,0,0,0,0,0,0,0
ENSG00000074800,ENO1,21045,48730,40654,32798,18496,15324,16011,19391,17188,15916
ENSG00000274258,MIR6728,2,4,4,1,5,2,2,3,5,0
ENSG00000230679,ENO1-AS1,5,4,6,2,8,3,3,5,4,7
ENSG00000201725,RNU6-304P,0,0,2,0,0,1,0,0,0,0
ENSG00000238249,HMGN2P17,0,0,0,0,0,3,6,7,1,4
ENSG00000232208,ENSG00000232208,1,0,0,0,0,37,52,39,23,16
ENSG00000232663,ENSG00000232663,0,0,0,0,0,1,4,2,0,0
ENSG00000131686,CA6,1,12,1,2,0,405,232,330,125,67
ENSG00000265141,RN7SL451P,0,0,0,0,0,0,0,0,0,1
ENSG00000197241,SLC2A7,6,0,1,0,0,0,0,1,0,1
ENSG00000142583,SLC2A5,730,1362,412,164,278,40,130,164,59,112
ENSG00000252404,ENSG00000252404,0,0,0,0,0,0,0,0,0,0
ENSG00000180758,GPR157,1081,1077,604,417,184,144,101,174,121,110
ENSG00000228526,MIR34AHG,1044,1263,470,359,234,13,13,33,46,70
ENSG00000284357,MIR34A,0,0,0,0,0,0,0,0,0,0
ENSG00000234546,LNCTAM34A,47,71,91,90,22,1,2,3,1,10
ENSG00000049239,H6PD,8572,9783,3288,3273,1953,2320,2682,2885,3180,2925
ENSG00000171621,SPSB1,2563,5989,4479,2047,665,46,99,153,114,109
ENSG00000284652,ENSG00000284652,35,34,5,7,3,0,4,0,0,0
ENSG00000284693,LINC02606,96,123,36,22,3,1,2,0,0,0
ENSG00000252956,RNA5SP40,0,0,0,1,0,0,0,0,0,0
ENSG00000235263,ENSG00000235263,0,0,0,0,0,0,0,0,0,0
ENSG00000171612,SLC25A33,214,788,482,237,947,233,161,210,151,134
ENSG00000231181,ENSG00000231181,14,22,14,11,85,28,17,16,11,14
ENSG00000188807,TMEM201,877,1247,1124,606,662,247,258,316,264,177
ENSG00000171608,PIK3CD,3049,3542,2057,1074,791,10295,10400,13899,12364,9322
ENSG00000179840,PIK3CD-AS1,11,2,3,0,0,21,31,21,20,16
ENSG00000233268,ENSG00000233268,1,0,0,0,0,1,1,2,2,0
ENSG00000231789,PIK3CD-AS2,42,97,172,14,37,10,9,7,4,7
ENSG00000171603,CLSTN1,9747,16397,9288,9939,4720,4070,3713,5962,5380,3776
ENSG00000271264,MZT1P1,2,0,0,0,0,0,0,1,0,0
ENSG00000280113,ENSG00000280113,6,4,0,3,3,0,0,0,0,2
ENSG00000178585,CTNNBIP1,1158,1896,1181,948,659,641,665,695,717,696
ENSG00000223989,ENSG00000223989,0,0,0,0,0,0,0,0,0,0
ENSG00000285701,ENSG00000285701,7,5,2,0,7,9,6,8,6,9
ENSG00000162441,LZIC,484,1191,626,393,397,429,344,459,474,411
ENSG00000228150,ENSG00000228150,8,8,8,6,2,7,8,12,9,14
ENSG00000173614,NMNAT1,339,570,239,155,129,129,241,188,256,302
ENSG00000202415,RN7SKP269,2,1,6,3,2,1,2,2,1,5
ENSG00000283611,TMEM274P,4,1,3,0,0,0,3,0,2,0
ENSG00000265521,MIR5697,0,0,2,0,0,0,0,0,0,0
ENSG00000241326,ENSG00000241326,0,0,0,0,0,0,0,0,0,0
ENSG00000162444,RBP7,362,130,35,285,63,350,392,563,531,552
ENSG00000130939,UBE4B,2280,3654,2918,1968,1387,1490,1533,1583,1817,1701
ENSG00000224340,RPL21P21,0,1,0,3,1,1,2,1,3,2
ENSG00000233623,PGAM1P11,2,1,7,4,2,6,3,2,3,11
ENSG00000201746,RNU6-828P,3,5,0,4,4,4,1,1,1,0
ENSG00000054523,KIF1B,1560,4024,3194,1612,1559,883,1181,942,1294,1181
ENSG00000264881,ENSG00000264881,0,0,0,0,0,1,0,0,0,0
ENSG00000199562,RNU6-37P,1,4,1,1,0,1,1,1,0,1
ENSG00000264501,RN7SL731P,0,0,0,0,0,0,0,0,0,0
ENSG00000284735,ENSG00000284735,21,22,23,6,10,13,14,11,11,18
ENSG00000284642,ENSG00000284642,27,43,161,22,21,24,32,16,20,31
ENSG00000142657,PGD,3786,7247,33644,10341,2867,4894,7214,5851,6212,9115
ENSG00000271989,ENSG00000271989,0,0,4,0,0,0,0,0,0,0
ENSG00000251503,CENPS-CORT,3,13,7,1,1,1,0,2,1,0
ENSG00000175279,CENPS,14,54,34,14,9,7,2,9,6,0
ENSG00000241563,CORT,14,23,19,5,5,1,3,5,4,1
ENSG00000160049,DFFA,1308,2238,1217,696,571,511,511,729,707,644
ENSG00000203469,ENSG00000203469,0,0,0,0,0,0,0,0,0,0
ENSG00000142655,PEX14,730,1393,748,496,532,455,442,610,534,465
ENSG00000243267,RN7SL614P,2,1,0,5,3,9,3,3,5,2
ENSG00000130940,CASZ1,710,837,449,795,619,247,169,312,310,233
ENSG00000272078,ENSG00000272078,66,122,38,102,118,53,31,65,58,48
ENSG00000225158,HSPE1P24,0,0,0,0,0,0,0,0,0,0
ENSG00000175262,C1orf127,68,114,17,2,16,51,59,41,85,109
ENSG00000215785,CFL1P6,5,3,1,0,1,1,1,1,2,0
