name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A133.T,A134.T,A140.T,A144.T,A152.T,A133.N,A134.N,A140.N,A144.N,A152.N
ENSG00000152104,PTPN14,2251.2,2239.4,11.8,0.005,-7.5,6.2e-9,1e-4,0,0,1416,2598,2619,2572,1992,7,11,20,19,2
ENSG00000277258,PCGF2,610.4,599.6,10.8,0.019,-5.8,6.2e-9,1e-4,0,0,591,683,521,489,714,9,20,6,12,7
ENSG00000143147,GPR161,1030.4,1002.4,28,0.028,-5.1,6.5e-9,1e-4,0,0,897,1132,1095,1286,602,25,20,42,35,18
ENSG00000085063,CD59,6225.2,5785.4,439.8,0.076,-3.7,6.5e-9,1e-4,0,0,7697,6516,3572,6697,4445,423,417,508,486,365
ENSG00000158352,SHROOM4,833.8,822.8,11,0.014,-6.2,6.7e-9,1e-4,0,0,1448,653,769,688,556,14,11,14,11,5
ENSG00000272141,ENSG00000272141,391.8,389.2,2.6,0.007,-7.1,6.8e-9,1e-4,0,0,316,228,659,380,363,1,5,3,2,2
ENSG00000114019,AMOTL2,1279.6,1278.2,1.4,0.001,-9.8,6.8e-9,1e-4,0,0,1873,1443,1456,961,658,0,2,0,1,4
ENSG00000104881,PPP1R13L,1510.2,1402,108.2,0.077,-3.7,7.1e-9,1e-4,0,0,1511,1522,1319,1770,888,93,127,131,108,82
ENSG00000151276,MAGI1,589.4,589.2,0.2,0.001,-10.7,7.1e-9,1e-4,0,0,1164,463,414,457,448,1,0,0,0,0
ENSG00000275385,CCL18,1452.8,1452.4,0.4,0,-11.3,7.2e-9,1e-4,0,0,2197,1385,2147,434,1099,0,1,1,0,0
ENSG00000121900,TMEM54,1062,1061.6,0.4,0.001,-10.9,7.4e-9,1e-4,0,0,591,620,1626,1457,1014,0,0,0,2,0
ENSG00000166444,DENND2B,2223,2203.4,19.6,0.009,-6.8,7.8e-9,1e-4,0,0,2551,2817,1383,1344,2922,12,27,29,8,22
ENSG00000169515,CCDC8,925.4,925,0.4,0.001,-10.7,7.8e-9,1e-4,0,0,644,1347,1197,507,930,2,0,0,0,0
ENSG00000164692,COL1A2,108346.6,108344.8,1.8,0,-15.6,7.8e-9,1e-4,0,0,118397,271989,72385,38039,40914,2,1,5,0,1
ENSG00000128602,SMO,1793.2,1782.6,10.6,0.006,-7.4,8.1e-9,2e-4,0,0,1358,1617,2280,1925,1733,12,24,9,3,5
ENSG00000108821,COL1A1,195983.8,195968,15.8,0,-13.6,8.1e-9,2e-4,0,0,235813,480619,121780,74465,67163,23,19,17,14,6
ENSG00000144452,ABCA12,547.2,546.6,0.6,0.001,-9.4,8.1e-9,2e-4,0,0,294,387,973,554,525,1,0,1,0,1
ENSG00000173898,SPTBN2,1580.4,1539.2,41.2,0.027,-5.2,8.2e-9,2e-4,0,0,1003,1238,2428,1709,1318,44,57,33,24,48
ENSG00000177106,EPS8L2,2272.4,2128,144.4,0.068,-3.9,8.4e-9,2e-4,0,0,1652,1288,2387,2568,2745,164,151,165,134,108
ENSG00000105137,SYDE1,920.6,916.6,4,0.005,-7.8,8.5e-9,2e-4,0,0,1275,1443,706,737,422,5,7,4,3,1
ENSG00000196517,SLC6A9,995.4,987,8.4,0.009,-6.8,8.5e-9,2e-4,0,0,586,616,1084,826,1823,8,13,10,5,6
ENSG00000117411,B4GALT2,2097.2,2034.2,63,0.031,-5,8.6e-9,2e-4,0,0,1434,2125,1802,2230,2580,28,63,60,99,65
ENSG00000112559,MDFI,1248.2,1248,0.2,0,-11.8,8.6e-9,2e-4,0,0,1686,1800,607,1686,461,0,0,0,0,1
ENSG00000136859,ANGPTL2,3075.8,3074.6,1.2,0,-11.3,8.6e-9,2e-4,0,0,3764,5700,2811,1999,1099,1,0,0,1,4
ENSG00000185565,LSAMP,910.2,910,0.2,0,-11.4,8.6e-9,2e-4,0,0,1283,1554,733,613,367,0,0,0,0,1
ENSG00000137872,SEMA6D,914.8,914.2,0.6,0.001,-10.2,8.7e-9,2e-4,0,0,542,883,977,1585,584,2,0,0,1,0
ENSG00000154380,ENAH,3430.2,3416.8,13.4,0.004,-8,8.9e-9,2e-4,0,0,2429,5187,4890,2782,1796,4,23,16,8,16
ENSG00000214212,C19orf38,3640.2,90.6,3549.6,39.152,5.3,8.9e-9,2e-4,0,0,145,69,116,65,58,3513,3265,2864,2643,5463
ENSG00000143545,RAB13,636.8,600.4,36.4,0.06,-4.1,9e-9,2e-4,0,0,673,597,464,591,677,42,42,23,28,47
ENSG00000205045,SLFN12L,1773,135,1638,12.081,3.6,9.1e-9,2e-4,0,0,159,155,149,77,135,1823,1553,1943,1646,1225
ENSG00000183963,SMTN,4068.6,3815.2,253.4,0.066,-3.9,9.6e-9,2e-4,0,0,5898,3423,2625,2664,4466,212,285,251,232,287
ENSG00000122642,FKBP9,4827.2,4663.2,164,0.035,-4.8,9.6e-9,2e-4,0,0,4030,6100,2401,4394,6391,161,198,139,109,213
ENSG00000197879,MYO1C,7820.4,7050,770.4,0.109,-3.2,9.7e-9,2e-4,0,0,7072,7000,6589,10179,4410,767,810,779,781,715
ENSG00000150681,RGS18,2191.2,60.8,2130.4,34.789,5.1,9.9e-9,2e-4,0,0,85,73,68,39,39,3295,2339,1452,1547,2019
ENSG00000127951,FGL2,16553.6,816.4,15737.2,19.261,4.3,1e-8,2e-4,0,0,750,1110,1168,487,567,17207,12810,15489,16609,16571
ENSG00000115183,TANC1,2470.2,2447.4,22.8,0.009,-6.7,1e-8,2e-4,0,0,1950,1468,2076,3202,3541,49,15,19,14,17
ENSG00000188157,AGRN,11000.8,10591.8,409,0.039,-4.7,1e-8,2e-4,0,0,7226,8274,18498,10610,8351,333,485,504,310,413
ENSG00000135862,LAMC1,7554.2,7352.2,202,0.028,-5.2,1e-8,2e-4,0,0,6668,8752,8313,7440,5588,122,97,256,248,287
ENSG00000177303,CASKIN2,1544.6,1502.8,41.8,0.028,-5.2,1.1e-8,2e-4,0,0,2403,1021,1690,1041,1359,52,29,28,43,57
ENSG00000141298,SSH2,10531.4,1309.4,9222,7.041,2.8,1.1e-8,2e-4,0,0,1824,1102,1246,1107,1268,10912,9171,8113,7935,9979
ENSG00000184292,TACSTD2,6346,6343.2,2.8,0,-11,1.1e-8,2e-4,0,0,4007,3222,3178,13762,7547,5,1,3,5,0
ENSG00000116141,MARK1,933.2,931.2,2,0.002,-8.8,1.1e-8,2e-4,0,0,348,718,906,1599,1085,2,1,1,1,5
