protein,gene,A115,A116,A133,A134,A140,A144,A152,A113,A114,A118,A120,A136,A137,A139,A141,A143,A146,A147,A153,A117,A142,A148
UROK,PLAU,2041200,1620500,1317000,2801200,4578700,1949000,2918000,192720,955850,682210,846240,991120,133490,1066600,1259600,522540,7914500,10171000,1437000,1834100,3360700,4028500
LAMA3,LAMA3,12268000,7107000,13140000,19881000,26354000,17167000,30414000,7983500,28111000,18262000,8393900,9200200,8750700,15285000,19532000,9693200,14795000,20924000,14958000,21972000,28619000,29305000
RBM10,RBM10,985480,1782400,1070700,955340,2679200,1967500,1726400,1213900,912320,1866100,286270,747820,521960,478860,850980,486620,1443500,1951200,827190,1205700,1434800,607100
NAGAB,NAGA,7105800,7598600,6909700,5672800,13092000,9770500,23183000,8644500,19705000,10775000,3922900,4520900,4266800,5436700,10208000,4093300,24873000,17873000,7513100,12980000,9296600,15760000
UACA,UACA,3115900,983060,2687800,478650,1159100,887400,560600,1899600,350690,1014800,391440,837310,449710,NA,2131200,485240,701170,610070,2579200,1365600,417460,1586500
ADPRH,ADPRH,6771200,8165400,4643400,17881000,18868000,1965600,3797900,24629000,1615700,7275500,1937300,9738600,2955600,6073100,22267000,5122700,2482800,52088000,3367900,2134800,9832700,9310700
COMD6,COMMD6,1779600,4676300,126180,1510500,3433800,2473500,3124900,NA,474900,3804500,1010500,1991400,67660,259120,2132700,622690,701240,1276500,218670,2718300,103320,3150300
VMA5A,VWA5A,13505000,14814000,17900000,18750000,10697000,14716000,11676000,4536400,9906700,9777600,3146900,9174800,9656800,4032800,15824000,8908900,11803000,6126100,20811000,22149000,23767000,21895000
CSK,CSK,13740000,14809000,18041000,13274000,19542000,26022000,23345000,15535000,24820000,17674000,6660800,9144800,7903600,6674600,19448000,9135900,26336000,24794000,18594000,15225000,18670000,34519000
CPT2,CPT2,9090100,12446000,10695000,16552000,27334000,17552000,16406000,8747600,32226000,7196500,7961000,13738000,11601000,4532400,7938400,6239400,7228000,16497000,11129000,19330000,15614000,36058000
