protein,gene,A136_T,A137_T,A139_T,A141_T,A143_T,A146_T,A147_T,A148_T,A153_T,A136_N,A137_N,A139_N,A141_N,A143_N,A146_N,A147_N,A148_N,A153_N
GLRX5,GLRX5,1663200,NA,3619500,2320800,5451700,265280,1730700,4634700,5553900,3691700,1995400,NA,664150,5594600,882410,2632300,673770,445020
TM9S1,TM9SF1,1394300,5124500,2520900,925820,3688900,1415000,2740100,3060600,2990200,2919500,1652700,1249200,1041800,2697600,249310,4407700,1383400,845240
AL5AP,ALOX5AP,4398400,2781800,5148600,3313800,8656500,4863300,13558000,10751000,5457400,6144700,4795100,627550,5305200,3855700,4379000,11999000,11071000,8154100
ABHEB,ABHD14B,48519000,23047000,142130000,42917000,59570000,116150000,75270000,100860000,195200000,82802000,30678000,113170000,72703000,110310000,45276000,154690000,113110000,117460000
TPRKB,TPRKB,2428600,762530,2488100,1033300,2900300,2859800,2912300,3393400,4621600,870660,NA,2391500,1818800,2835800,153660,3061700,2407000,2153600
PGM2,PGM2,47224000,29757000,79526000,45214000,97166000,61986000,55493000,79459000,122880000,40934000,20112000,102000000,73734000,112050000,34564000,100430000,99021000,63926000
T179B,TMEM179B,8835300,10704000,17535000,9193400,18912000,16248000,14900000,18805000,37535000,7114900,2083500,14210000,8729800,19430000,3259800,26892000,13222000,10330000
NR2CA,NR2C2AP,1514300,638610,1959700,795450,4051200,2043000,1760400,2508700,1376800,5030200,2478500,2103400,4180000,2206100,1452600,1594800,3356000,1843300
PFD4,PFDN4,3839700,3328200,15438000,2845300,13753000,4187500,14918000,13983000,32470000,4888500,635690,19206000,9752500,8392600,1166700,19162000,6151600,4258300
TB22A,TBC1D22A,618020,100780,945980,603560,1090500,873820,1219400,1489700,2564200,625910,175360,1616200,1423300,1434600,613910,1574700,2443600,1049400
OAT,OAT,17910000,12745000,30649000,13559000,83903000,38569000,24928000,37136000,49621000,21129000,15802000,38048000,20611000,43550000,15142000,60365000,7914200,31764000
ARPIN,ARPIN,4527100,1591500,19100000,3513600,22754000,10652000,10010000,4473800,14315000,6442500,1898900,7975900,7579500,10286000,2233800,9077700,12268000,5568500
PLPHP,PLPBP,12820000,5158000,21425000,8586500,32058000,18633000,13258000,15698000,16760000,8933300,3525000,17894000,12179000,29194000,10002000,20670000,35154000,13265000
PTGIS,PTGIS,10906000,6994600,24597000,13288000,24201000,35657000,25783000,27728000,39188000,12343000,6973000,26111000,40968000,16366000,6095500,33989000,27701000,17551000
CELF2,CELF2,3180300,2166700,4196300,1515000,12592000,6091100,5325200,8280900,10624000,NA,10293000,3771500,1662100,4016300,15181000,8343000,4493700,3931700
GLRX1,GLRX,39096000,39883000,123210000,56254000,93152000,64392000,65122000,89126000,174450000,84414000,17528000,62918000,73341000,164530000,29991000,136390000,84275000,59921000
PDLI2,PDLIM2,15499000,5987500,24490000,5500100,16589000,47973000,25712000,17500000,30688000,23792000,14554000,40135000,18304000,23103000,15263000,16194000,20728000,9932100
ERBIN,ERBIN,678280,233890,1484000,659960,2484500,1023200,543560,681230,2831600,956340,527230,120960,1791800,1387800,547160,2419600,2147100,1603800
BI1,TMBIM6,790100,466670,1454300,1756300,5755100,2196500,2545300,4070300,4835100,1013800,16549000,2716800,2045600,2895300,610860,3413600,2272800,2113500
SUMF1,SUMF1,503350,436200,845640,504400,1926300,870340,1574200,1538900,1446300,403440,NA,1705000,2299000,2599900,289250,3129200,2345600,849260
CAMP,CAMP,224360,3515400,NA,1072400,820040,873920,338670,619130,1299900,2198200,673240,146510,4578800,404020,434570,2095900,738400,1322200
