protein,gene,A136_T,A137_T,A139_T,A141_T,A143_T,A146_T,A147_T,A148_T,A153_T,A136_N,A137_N,A139_N,A141_N,A143_N,A146_N,A147_N,A148_N,A153_N
OSTF1,OSTF1,24628000,35873000,62005000,28988000,62884000,51653000,73893000,90768000,144480000,16933000,6350700,54026000,47416000,67852000,12242000,85504000,60143000,32671000
KPRA,PRPSAP1,5475200,3257200,15685000,2544600,26812000,10045000,14402000,16525000,18424000,4580900,5373900,11648000,7558100,10673000,5597000,13047000,10816000,6229600
FBLN5,FBLN5,12577000,4338900,164820000,4102500,1492200,286590000,52693000,60739000,12678000,29960000,10319000,98868000,47785000,58256000,10452000,57865000,76482000,10511000
VTDB,GC,163530000,368050000,170370000,211980000,101430000,306970000,141500000,356990000,253740000,482990000,246400000,175630000,514220000,344830000,304350000,253820000,408510000,377280000
FAK2,PTK2B,1152500,842450,1376300,917460,1363700,1400500,1511700,3180900,2730300,614260,542850,797610,1235900,2079600,260500,1458400,1764200,913480
SODC,SOD1,2985700,4285000,5842300,3616100,6827400,9868300,7616400,5787800,13276000,12000000,7548900,5384000,9798500,13140000,13585000,6308000,8296900,13752000
DUT,DUT,1983400,1059600,6576600,1299400,2586000,4424500,7557400,4918100,2792300,4018800,1531400,1484000,7198200,22211000,12380000,15035000,228660,16249000
NDUS5,NDUFS5,12739000,4503800,24596000,3388200,17520000,8100400,15411000,19953000,43325000,3837900,714940,3729900,3320200,15281000,1621300,23006000,8522700,6413400
ABLM1,ABLIM1,1868500,9862900,747460,800520,2249500,934150,1205800,2137600,5223600,2364200,1054800,23952000,17796000,4813100,8203600,3424000,19678000,3301600
SPS1,SEPHS1,12187000,7718400,25248000,8075100,45469000,16516000,22253000,14426000,49688000,6927800,2473000,22601000,15232000,20942000,4257400,28038000,20524000,14313000
TSTD1,TSTD1,8107900,122690,19480000,2867900,8585600,8694400,6929500,7754700,19011000,1394100,387420,2700700,3279300,3982500,1130400,3564500,3472500,3066100
QCR9,UQCR10,9333900,5276000,12425000,6340400,10431000,6244700,5119400,10853000,48026000,3453100,1814700,11918000,6714600,15081000,1705800,9154900,7454000,7779100
ACE,ACE,16763000,13585000,10699000,12979000,19736000,15269000,17167000,11092000,29483000,16878000,8973200,33722000,23275000,21713000,6084200,43645000,38599000,24584000
CNPY3,CNPY3,8390600,2966800,12106000,5300500,21538000,12111000,16086000,23025000,26677000,3088000,697960,1772400,5732300,24503000,2568100,24160000,14410000,9653800
GET3,GET3,15822000,10065000,28304000,12832000,39407000,22022000,27193000,28757000,62988000,15426000,9664400,30697000,17775000,23938000,7967200,24730000,20628000,16339000
SAR1B,SAR1B,13743000,2857700,32795000,8946500,28050000,13943000,32083000,42223000,85530000,7393900,2558200,1358100,12661000,9160600,3140300,22321000,12010000,7504900
ARL8A,ARL8A,5610100,4665700,14493000,4927700,11109000,11976000,11256000,12819000,22356000,6288900,1672500,27191000,11020000,36703000,5864500,31904000,18541000,7410600
SRPRA,SRPRA,5392400,4907800,19642000,5932800,13827000,15215000,19163000,14311000,35660000,4355400,2445200,17818000,19795000,5533500,2312200,17278000,12361000,8893800
RS13,RPS13,39021000,5218000,61640000,21248000,220240000,25380000,34828000,25386000,239550000,9055600,939790,44436000,37502000,17672000,1082000,33254000,36176000,6318300
TSN9,TSPAN9,3365100,1961100,7065800,2149800,15058000,10977000,6185300,7461600,7934400,7632300,3371400,22149000,7239700,12597000,4065900,12934000,11594000,10098000
LTOR1,LAMTOR1,11059000,3313800,43390000,6919600,83858000,18503000,54713000,29657000,78665000,19332000,10649000,14876000,16579000,56901000,11511000,52947000,25222000,16542000
TSN4,TSPAN4,2503300,1096200,10124000,4768900,21541000,10649000,16019000,15931000,29213000,6240700,3124200,6279700,6136600,9021600,3979500,9623800,14267000,10097000
COMD4,COMMD4,1678300,626400,2965500,1590500,6628600,3192500,4550500,4961300,6651400,1561500,NA,1666800,2769400,4136600,314050,2198200,3302800,2178900
EFNB1,EFNB1,606230,3374200,828130,1171500,1941400,714870,764600,454860,930250,1706800,12566000,6119200,2316800,2472400,1220600,2740000,3486800,4500600
QCR7,UQCRB,35319000,10358000,40869000,16748000,47088000,28950000,36788000,30546000,71565000,13261000,3751100,30046000,21038000,45212000,5767700,51132000,29303000,17478000
MGST3,MGST3,123830000,12853000,340540000,46315000,338930000,157510000,247310000,156770000,158630000,104750000,42154000,105830000,82798000,222830000,44526000,239480000,143890000,93442000
SFTPD,SFTPD,15302000,4287700,8000600,2247500,10554000,8203100,12577000,11851000,19895000,58110000,2517500,19351000,12927000,15395000,3744900,23686000,38698000,20509000
RAB3D,RAB3D,1655700,1068600,72300,3732500,4100800,2677600,1946100,3677100,7568300,1245500,NA,603930,1326100,611470,134020,3450700,1187300,1879600
CUL2,CUL2,4693300,850650,5423500,2300900,8561900,4493800,7533500,7726500,15070000,3459300,1244400,5200400,3391700,4275400,1291700,3707000,11543000,4730700
TBC24,TBC1D24,4433200,12531000,3996700,2397000,10687000,2246400,7134200,8313000,31399000,4309800,6082800,37587000,3512300,10096000,2045200,10617000,41149000,5697300
LEG9,LGALS9,7405600,2721500,9228000,6076200,8414200,6448800,14466000,13110000,21536000,604340,NA,2681000,3102800,14756000,204260,13329000,2629700,2010000
DHRS1,DHRS1,2860800,3880500,15473000,7353800,12650000,10951000,24639000,14520000,19485000,3724100,2164700,10110000,10978000,10601000,1025300,16603000,12412000,9187100
ATPG,ATP5F1C,26855000,6842800,50363000,19437000,48696000,30407000,44221000,30197000,44676000,11204000,3653800,32786000,17786000,42019000,7349100,45910000,29635000,17143000
NICA,NCSTN,7631700,7374300,13643000,4676700,18848000,7530400,17130000,12479000,20469000,6051500,1486700,9649300,9199900,12288000,3041200,17804000,9854900,6174600
SAHH2,AHCYL1,7766700,2460000,14471000,10520000,27455000,12327000,16602000,17289000,45492000,9011000,1865300,25068000,12939000,13610000,5688500,14519000,11568000,11979000
RAB10,RAB10,4093100,297700,4126400,2877500,28338000,8147500,14592000,21616000,NA,5947300,3424700,3705600,5076500,8436400,NA,11858000,13050000,6406100
PRKRA,PRKRA,17278000,217290000,20589000,6099100,23914000,14804000,24725000,19323000,17163000,6611100,12030000,96726000,10813000,26743000,11843000,16928000,20366000,46714000
SPB3,SERPINB3,1966200,8711200,2164400,26442000,3733300,1004300,2313100,2190800,883350,4120300,1238400,1414600,2302500,1610300,8656000,921080,1104000,553380
VP26C,VPS26C,1996700,954740,5169600,2113900,6818800,5282300,5591500,5958800,8078100,2215500,401100,3708500,2019500,4667300,1614400,6489700,3740100,2201200
CSRP1,CSRP1,130050000,22173000,338070000,64088000,102980000,460100000,188040000,225530000,105320000,287910000,109000000,141360000,274460000,81974000,31732000,40653000,109720000,52283000
RM44,MRPL44,3871100,2394800,8667300,934580,10377000,2358900,3382600,3792200,10860000,240550,2068200,17534000,2516500,3309800,NA,3200000,1357000,566470
RTN1,RTN1,43216000,12823000,3946100,25142000,6126900,3658000,7418900,8830400,3694900,4362800,3608700,3544800,5810000,7548400,6410500,6592400,7717400,9385500
TPP1,TPP1,71890000,42296000,152100000,51472000,115060000,101760000,309750000,134050000,211990000,35400000,36868000,17733000,65035000,66279000,41298000,444570000,76964000,37649000
AIDA,AIDA,5500200,1651800,14606000,3725500,21544000,11080000,10072000,13212000,16433000,4964600,1234100,14927000,10406000,7903700,1723600,7438500,11685000,7278600
PHP14,PHPT1,45460000,24085000,84809000,45619000,93267000,77056000,114420000,155330000,103320000,43303000,18780000,57893000,62932000,69272000,23793000,84560000,98406000,54886000
MEAK7,MEAK7,1266200,1071400,2072900,1284700,4714700,2266600,1928400,4145200,2579300,596150,149870,1200100,924370,503360,186620,1653900,1619900,652130
SNF8,SNF8,319380000,342170000,7012900,4542800,54021000,10798000,3810700,7286600,137950000,1962600,1489300,10604000,5588300,5712900,2833400,9341200,5983900,2303800
5NTD,NT5E,30920000,62228000,74932000,30879000,292740000,13489000,70572000,38489000,75071000,8856600,22568000,85697000,75141000,80715000,19380000,82245000,66627000,36259000
PMM2,PMM2,11057000,3354900,17382000,8931600,19353000,4118100,9929900,19542000,17829000,6690700,1570700,6881200,11787000,8230100,4017000,23159000,9552000,5382300
EIF3J,EIF3J,4264300,1398800,3966200,2191900,10707000,3988600,4976900,8128900,6485700,3186300,1204900,164460,1055400,4841700,1154900,1167200,17944000,1242700
SEH1,SEH1L,1476500,NA,6813900,2516700,2333600,6682600,5903500,1380600,19878000,1874600,357300,6375600,3880700,5659000,144570,6579800,4391300,3354200
CD81,CD81,54204000,20849000,131120000,29803000,74229000,170780000,114490000,95044000,188230000,126880000,32497000,205380000,180940000,160180000,52621000,137710000,220000000,149020000
FBRL,FBL,10130000,12347000,45283000,8527300,24000000,19402000,21385000,29410000,32151000,5745700,1843400,33376000,15872000,19452000,1669200,27683000,20574000,14569000
TIMP1,TIMP1,2508300,24070000,4745800,7437500,8515600,12996000,4883800,13101000,15289000,4509100,1749600,8783200,10626000,9153100,2523100,2078800,15420000,10155000
CHSP1,CARHSP1,29451000,8536400,77104000,29344000,78986000,81930000,65160000,25212000,35442000,58322000,32712000,59514000,76449000,55118000,41435000,96011000,103020000,97487000
ADIRF,ADIRF,838230,213410,9573600,671170,8426300,7792100,6304100,4616500,6511400,9398500,6588100,1123800,17760000,5785600,9828900,3436200,25633000,54033000
RPAB1,POLR2E,4451000,3453900,10130000,2604700,26743000,7075300,6147700,4957700,20209000,438970,8332700,2239000,3338000,2737700,6065200,7983900,3163300,2200000
RENBP,RENBP,1827200,3461500,4589700,1206900,3182100,4862200,6821700,5376000,4278300,10959000,3375600,5574700,2647500,7327500,1806900,10891000,5235700,3334300
FACE1,ZMPSTE24,6047100,4207000,9632600,5308200,14381000,8077200,12639000,15178000,27623000,3774900,667300,11867000,10855000,14111000,1052400,16484000,8676600,4353200
GBG5,GNG5,14771000,4544800,27259000,1072900,153250000,37681000,58497000,64329000,106810000,6414300,10329000,45519000,34098000,79383000,10886000,49201000,48305000,42228000
EXOS7,EXOSC7,3472300,1296700,2116500,3177700,4780200,3002000,1390600,6817900,1941400,748560,411990,661760,1358000,2514400,436900,2585700,1509800,695700
DLRB1,DYNLRB1,15167000,5306600,36300000,15745000,86293000,26324000,26839000,31754000,56151000,15976000,3918500,31362000,30829000,34660000,4846100,31607000,35016000,21276000
DRG1,DRG1,6113600,2438800,13428000,5302000,36980000,10340000,20330000,20467000,37420000,34550000,11635000,6770100,5522100,5570400,18970000,12875000,7467300,3489700
CATG,CTSG,6143700,106260000,27296000,20660000,33799000,65920000,8992000,29930000,124970000,33228000,11628000,147080000,108630000,44648000,13386000,98327000,71175000,78194000
LHPP,LHPP,3330600,5543900,14085000,4470500,10093000,24352000,17573000,13565000,35029000,6457000,4979400,8884100,14531000,11954000,5152000,14011000,14738000,8854000
PFD2,PFDN2,9997700,6475400,10615000,5602700,34292000,15466000,15198000,16558000,36459000,5414900,18510000,11298000,8519500,9120000,1983200,11027000,9111300,7332200
SRSF9,SRSF9,3215200,5116600,9420900,4772600,17225000,9192300,11160000,11546000,36045000,4801900,2032600,19551000,6144100,10841000,7433900,11773000,6606600,6229000
STRN,STRN,4019300,3120400,8938300,3481700,11281000,7847200,10587000,10778000,23075000,3369600,2393300,10957000,8084900,8125400,3808000,9417600,8423200,3762500
MIC26,APOO,4049100,756140,7511900,1846000,8949800,8944500,9505800,9185400,13092000,1185600,1014600,4904400,513620,7573900,973510,7510300,4324600,2728500
H1X,H1-10,13504000,10895000,52900000,7971500,51195000,29791000,27013000,41093000,53168000,11984000,4864900,9496600,22036000,14278000,2618400,15076000,13580000,11078000
FBLI1,FBLIM1,2452000,2371600,17113000,4193400,9477200,18911000,10759000,19584000,12073000,3257100,1180400,7414400,8393400,22117000,2893500,13000000,6796900,3256200
BAP18,BAP18,12406000,10004000,16747000,9522100,33439000,22754000,17340000,26761000,54726000,2983700,5554000,28926000,19341000,19674000,4152500,27003000,20773000,15224000
ARM10,ARMC10,36657000,15621000,21259000,8089900,28161000,38157000,30794000,48426000,68868000,9229800,4167300,5416700,27549000,24300000,78177000,47737000,6385600,5947200
KAD3,AK3,31644000,11500000,53868000,14590000,44930000,39618000,67109000,53143000,61140000,14507000,16558000,29842000,35693000,25590000,7750600,62878000,45699000,28544000
RD23A,RAD23A,8294400,4941300,21427000,9443800,15235000,7298100,6357200,3194400,13186000,10311000,19725000,7165200,10068000,8411700,18417000,16869000,15127000,20180000
PROD,PRODH,564420,251850,29074000,415630,4689000,2874800,5569400,1042800,13945000,1804600,1467800,4782200,3493400,3341700,654070,12694000,4235400,1600800
MLEC,MLEC,31619000,29654000,70243000,43065000,61644000,62623000,53230000,67243000,134320000,39159000,20367000,54641000,24675000,59651000,25499000,76952000,30175000,61199000
GOSR1,GOSR1,4654400,325890,6673900,3812700,12250000,3175500,5745600,9015700,21537000,1584500,1004500,1226700,946140,4248000,476560,3433800,1975900,775380
TM109,TMEM109,31155000,31429000,60735000,29709000,72906000,61449000,49134000,62799000,96841000,49310000,24701000,117810000,76533000,121330000,22613000,126090000,85270000,74985000
NXP20,FAM114A1,15678000,6311600,16964000,9846900,40853000,12973000,20748000,27209000,25596000,9716500,3593500,17248000,17988000,10909000,5859200,15329000,30013000,14571000
RAGP1,RANGAP1,13728000,26293000,41019000,7216900,80949000,14179000,36171000,25395000,67124000,8904500,3721100,104350000,6944700,7218700,9292000,14328000,11554000,18527000
CHP1,CHP1,2629900,2280800,6208000,2000700,6530400,3594700,4840500,5227500,7558100,2061100,1188400,2974100,4151800,8594200,550930,3105900,4926900,1561700
HINT2,HINT2,22779000,7590900,52688000,10772000,49449000,35247000,59442000,42868000,76020000,19529000,4134700,34387000,34331000,40351000,9612200,51373000,37487000,23363000
DHB8,HSD17B8,6767800,2496700,12076000,3087700,12244000,7412000,5578500,7558700,10871000,2368200,906350,9274200,5489900,10218000,1735500,9203900,8180000,1208500
6PGL,PGLS,51665000,24163000,94910000,51452000,115610000,87656000,89085000,135230000,219070000,77968000,29155000,66884000,80768000,66584000,23477000,98055000,102260000,75075000
RAPH1,RAPH1,5671700,956180,2736300,1752300,6622500,3308000,3654000,3211900,8354200,2287900,1106800,2723300,3524400,3395900,1619900,5560700,3162300,2510900
NB5R3,CYB5R3,124190000,29380000,233530000,64583000,209030000,193540000,245340000,211570000,253350000,154960000,56715000,324280000,232400000,303650000,74022000,392600000,408060000,240130000
CCL18,CCL18,13396000,6467500,61725000,12063000,17126000,16244000,20615000,27434000,34032000,4443100,6008100,9048100,693110,18263000,2808700,33295000,13623000,4897300
LYAG,GAA,36705000,18935000,61877000,31074000,273560000,61050000,115570000,54836000,80570000,56802000,18801000,82545000,37091000,73309000,25529000,112360000,77420000,41541000
CK5P3,CDK5RAP3,12151000,7455500,24106000,17025000,41517000,23809000,21191000,27882000,50569000,32585000,NA,8476500,8690800,17154000,22931000,18644000,17225000,35898000
KPCD,PRKCD,2649300,6085500,2444400,7017200,3251300,4538200,3084100,13969000,8149800,7304300,3111700,12620000,6479600,9675300,4626500,10089000,9440200,8009300
COMD3,COMMD3,3520400,2618400,11379000,2944600,17485000,9716700,7374900,5128900,28498000,3578800,536440,7360400,10618000,13926000,1196300,9208200,11786000,5404300
TCRG1,TCERG1,1056000,777940,1473800,NA,3516400,423060,2313100,2190800,764600,3463100,1731500,4799600,2320300,2618600,2639500,1642700,1370000,1891400
CPNE1,CPNE1,13664000,6841800,35212000,17051000,90078000,38426000,34727000,46643000,43675000,18556000,4879600,33672000,35289000,29295000,10172000,38889000,34514000,29295000
RL18,RPL18,20546000,7853000,56175000,36479000,140010000,17911000,57397000,61678000,171800000,12448000,32720000,38526000,1507600,48009000,2499700,15549000,25870000,8291000
DNJC5,DNAJC5,2990700,4075300,10290000,2907200,11174000,4545500,8816200,9038500,6881900,2969100,1032300,11373000,7043900,17983000,2433900,22307000,12586000,6653000
ABHGA,ABHD16A,3839100,1988800,8185800,1625800,6821500,3678400,8217700,8047400,13253000,2730800,409690,8897800,1199000,7571500,989970,9952400,6313700,2076200
VAV,VAV1,1380100,2648200,3296600,1812900,3570900,3933600,4417200,4471200,10676000,NA,4035700,5164400,4399500,3174700,222860,6386600,2363200,368630
CHM4B,CHMP4B,18999000,12565000,55644000,27899000,127200000,30833000,40177000,45591000,34691000,24951000,10826000,20455000,31585000,35400000,14228000,51319000,50343000,32972000
STAM2,STAM2,433520,205930,3213200,232140,4800300,981330,2557400,1055400,3326500,5974600,368470,2416200,1118000,788820,1363400,682260,1137900,9428300
NDUAA,NDUFA10,15330000,3031100,16800000,10816000,9952500,15663000,13698000,26341000,23355000,3033600,2056100,8747900,4628400,19526000,3206600,26780000,16793000,12829000
GRHPR,GRHPR,64304000,22804000,142910000,38596000,155280000,84097000,99581000,91480000,199730000,58917000,24130000,101690000,81943000,95114000,19964000,85204000,102070000,81979000
CLPT1,CLPTM1,5825800,7680600,10751000,4741000,24397000,9898300,13609000,13620000,26246000,3730400,4517000,6875700,8574100,10407000,8640200,13250000,8799400,19952000
WDFY1,WDFY1,4277500,2731500,6555500,4089100,7180400,7919000,6510400,10769000,19715000,2541600,1718800,7366400,4889200,8667700,2525000,9235900,7697500,5983000
GSHR,GSR,117650000,41477000,247570000,79414000,155220000,139470000,218880000,112270000,187290000,65562000,29793000,146650000,104060000,150810000,49136000,155920000,140070000,101590000
ITA2B,ITGA2B,1665000,5885300,597900,2837200,7554500,4042900,4527600,6071400,8411900,2027700,7932500,8211300,4605800,8275600,7611400,3124700,2143300,13322000
ENDD1,ENDOD1,13112000,4725500,16527000,8559600,47571000,9909100,24538000,19708000,42075000,9051200,4930800,26909000,14109000,21072000,5813900,19266000,19442000,15247000
COMD2,COMMD2,4907500,8768200,12542000,2676600,15477000,6272200,11985000,4161500,8723600,4581200,2437800,5772100,6923100,4629700,2148200,13399000,5102300,10031000
UBQL2,UBQLN2,950590,1969100,4158600,2230800,10863000,4432700,3719600,4705200,24653000,6810400,227810,5498600,1307500,16238000,597690,4577700,1986200,4790900
CPZIP,RCSD1,1219700,2596000,3074900,1591000,1673300,4319000,2935700,6192000,6750600,937470,1609600,3755400,2297200,3006600,642860,2599700,4193100,3150500
SUSD2,SUSD2,35170000,3379700,33717000,6839700,82933000,474620000,54629000,20561000,143300000,165370000,46790000,314160000,125430000,62420000,73518000,73948000,171390000,135980000
NAA10,NAA10,4159900,2572600,5551000,2727900,24383000,4682000,7846500,6439700,10691000,1853300,2593300,14023000,2736900,24094000,7426000,14061000,17954000,9656300
SPCS3,SPCS3,6278500,3753200,22684000,17084000,15026000,14377000,11981000,12958000,41604000,3346500,1439000,14645000,10457000,13003000,1895500,15684000,9418000,4956700
CATB,CTSB,357430000,243020000,345240000,298490000,763330000,324270000,809750000,484710000,877350000,41401000,28825000,172190000,185460000,1015900000,94090000,1486300000,194750000,80893000
RIC8A,RIC8A,980550,339200,2252900,781480,3029700,1243100,1709000,2323100,5425700,863140,508420,294460,1557600,1296200,NA,1135000,1694000,617480
SNX5,SNX5,24726000,6939700,43340000,16360000,41014000,38954000,40002000,44824000,76387000,21763000,4123700,24553000,30655000,36691000,7460100,58873000,34471000,25436000
VATD,ATP6V1D,4702800,1603200,6673900,2347000,15040000,6508600,18154000,14050000,20566000,790980,11509000,2093200,2802100,12049000,17809000,10978000,4688700,3097200
PNPO,PNPO,7960100,6335900,13966000,8625500,63662000,16467000,21080000,28399000,14393000,8372900,11430000,9747300,16621000,23948000,5920100,25417000,19004000,12429000
CO1A2,COL1A2,732230,3220100,2478800,1525700,3834900,3694100,2279400,14644000,7442300,1794600,738330,9444900,1727700,2114800,497730,3455700,2826000,2052600
DYLT3,DYNLT3,12200000,5687400,19320000,16498000,27926000,22490000,17913000,27625000,24209000,21745000,11286000,27847000,21731000,25186000,12671000,39341000,43825000,32362000
IFT25,IFT25,1127800,926720,2489300,1947600,3158400,2181300,2261200,5076600,7689800,949690,396870,1252600,1895200,2784100,1044100,5805100,1863500,2354400
CSN8,COPS8,14043000,8639300,22332000,12366000,41970000,19914000,22875000,32239000,71328000,22309000,17210000,37860000,10288000,19435000,11760000,21784000,22358000,18110000
ESTD,ESD,93567000,33767000,307670000,57411000,195480000,169580000,96021000,147650000,231340000,102790000,45041000,92682000,117910000,91121000,47186000,167390000,187160000,131600000
RLA1,RPLP1,163720000,82857000,486640000,179660000,647400000,235320000,227190000,361780000,652680000,208860000,53201000,113450000,686440000,226090000,61905000,351240000,391130000,148630000
CD14,CD14,21137000,31526000,52718000,15845000,74339000,61380000,101070000,59474000,113550000,34471000,18215000,47012000,43713000,70520000,15442000,96211000,39800000,26440000
UBXN6,UBXN6,4746900,2765800,15796000,3768500,10863000,9209600,9409400,13670000,19261000,4970700,3855900,8134300,9541400,9891900,2640100,6720600,10650000,9717700
PSB3,PSMB3,20271000,46397000,27554000,15108000,47892000,29948000,27642000,40206000,61539000,11968000,4460900,41856000,35599000,32495000,10250000,27140000,51023000,19385000
RAB7A,RAB7A,56558000,41357000,105380000,42311000,167820000,104600000,113910000,101270000,249240000,37938000,15781000,119760000,65258000,139680000,20831000,174280000,94347000,60062000
HRG,HRG,52716000,64846000,69135000,35030000,74235000,53249000,48197000,80546000,114240000,130520000,91239000,26630000,93093000,90076000,68255000,98862000,108070000,92247000
CCDC6,CCDC6,11393000,4503300,14623000,7040400,28610000,15567000,16101000,13435000,34558000,6681500,7624800,24950000,6925900,15671000,6276800,12679000,10261000,17063000
WDR5,WDR5,5876900,10840000,10649000,4215800,18370000,8532400,11492000,13020000,17986000,4188600,7158600,11606000,9612200,8690300,2497000,13584000,11009000,6590000
PGDH,HPGD,12155000,806680,15637000,5226000,5097800,3450900,5377500,7002400,6830100,13851000,3108400,16162000,8887600,17410000,1912200,19203000,21646000,8265000
MUTA,MMUT,7707600,1807600,16431000,3984100,13217000,6300800,17236000,11152000,32244000,2138600,7158200,5645200,6272600,10135000,1245800,11081000,5862100,3088000
CRIP2,CRIP2,186470000,19096000,261670000,65592000,189230000,109650000,159270000,159060000,141950000,278290000,93451000,64759000,261370000,102150000,21147000,62655000,47157000,28564000
QRIC1,QRICH1,1277500,2385100,4701200,924090,4651200,7850400,2081800,9527000,7247700,486550,887860,837070,2777000,1137700,427160,4574100,2340100,1001200
ARF5,ARF5,10768000,6079200,10761000,4915600,42969000,38511000,37208000,17728000,32557000,5939900,2785200,17616000,19391000,9694300,6026600,13964000,38878000,18341000
SNTB2,SNTB2,4041700,1741000,18293000,2935400,5304900,20654000,11754000,15857000,16266000,8568800,2339100,26159000,22386000,16870000,2971800,14729000,21505000,14516000
MYL9,MYL9,22473000,7453000,91586000,18874000,26041000,106740000,69917000,70330000,45032000,92961000,24239000,60300000,88773000,87336000,22296000,69874000,119010000,50596000
RAB32,RAB32,4421900,NA,6921100,3454300,10291000,7259200,13600000,15322000,5915700,2624000,1085900,10097000,6341900,29897000,1802400,20251000,10533000,7442300
RPAB3,POLR2H,NA,2323800,1164800,707110,1426500,1338700,575400,1871100,147530,1731500,1443000,3090600,4749400,711100,2214500,1779300,473760,1670500
MK14,MAPK14,6295300,6579800,8601300,3905900,15525000,6133500,5655400,9495800,20814000,11320000,4695100,9194600,16822000,16302000,6904200,18376000,13795000,13768000
WDR1,WDR1,184190000,108770000,254880000,100160000,423510000,290300000,345960000,483180000,544480000,197330000,67498000,331290000,243320000,360480000,101730000,324280000,253060000,163490000
SORCN,SRI,43772000,22505000,100480000,64775000,267550000,80700000,132140000,87211000,208440000,55149000,28604000,104450000,71516000,124950000,47914000,105390000,116020000,98773000
ACY1,ACY1,4065600,1566900,7170200,3145400,6409200,3412400,5882800,4212800,11033000,2226000,169630,1186900,12369000,3265100,9804200,3835200,1381100,815790
NCEH1,NCEH1,11118000,15232000,22689000,14109000,73865000,25806000,70046000,48397000,77723000,12617000,4177700,17729000,21963000,65538000,8543600,94907000,29200000,13662000
DNS2A,DNASE2,7809600,2551600,7757200,5247900,11411000,6597300,15384000,13113000,27469000,2442700,1092800,7671700,4467700,18408000,2011900,23822000,7023900,4217600
CO8B,C8B,7832000,25845000,23539000,12553000,8127100,19164000,13863000,26772000,12987000,8602300,7359900,21833000,17400000,12348000,6528200,15800000,11430000,11453000
IFIT3,IFIT3,8832500,4940600,15494000,4930800,14220000,6939000,8176200,22153000,50179000,6722200,1752800,22317000,11092000,16737000,5159200,11081000,16149000,10684000
PROF2,PFN2,1888600,1610200,11539000,3246700,29760000,15549000,12748000,19465000,7486600,5415900,298460,12886000,9757700,8045300,3536300,13355000,15438000,8671100
KAPCB,PRKACB,1879800,500130,6229300,1145200,5322000,6378400,6551500,4389800,8238000,2829000,465410,3729300,3560300,4470300,766320,6653800,4864700,3221800
RCC1,RCC1,14355000,2985000,10910000,2470800,15468000,5168600,29921000,7630900,6623100,3210300,1231800,15733000,6205700,10845000,2164800,20665000,8149000,3712500
IPO9,IPO9,5073400,5806200,24793000,2631800,67809000,6688000,18600000,16618000,42340000,10900000,2850600,33349000,23591000,4649900,2744300,53903000,7197600,4237500
HEBP2,HEBP2,21180000,20064000,19605000,24673000,24113000,31129000,17421000,35960000,23687000,20236000,10297000,62034000,32648000,33674000,13432000,35931000,49515000,31247000
KT3K,FN3KRP,1460900,1224700,4421400,1919600,12428000,2492900,3530400,4851200,5583900,867080,313810,2728100,1971100,2638300,356630,4417400,3587300,2147100
FBLN1,FBLN1,46388000,54810000,138000000,32057000,63796000,331830000,141960000,192330000,103310000,100950000,33298000,121380000,112420000,72512000,24016000,154400000,112430000,103240000
GTPB1,GTPBP1,10174000,1930800,7948500,2703200,7848000,4229800,5123700,10367000,15325000,2216300,2221300,7496900,4628500,5539800,861700,6317500,4576500,2165300
ERP44,ERP44,48784000,18230000,92801000,37215000,122160000,58426000,133880000,116090000,178690000,17130000,49439000,57008000,41537000,63113000,4473600,84549000,275470000,16893000
RAB31,RAB31,1005800,642120,2035900,706720,3462200,1810700,2899600,4404600,6347900,802140,87351,2378800,1533400,2301600,535270,3293300,1119700,1748600
SAA1,SAA1,5682200,3845300,8999200,7226300,19301000,5199900,9337200,19493000,29627000,3467100,6912700,8233500,28679000,7532300,7341200,6986500,8347900,5068400
AGR2,AGR2,3021700,282570,10626000,7682300,1679500,2371300,16460000,1107500,3464600,989610,296230,385360,5273900,1977400,545540,939840,4232600,551660
AP1S2,AP1S2,1828900,2212700,2906500,598280,184840,1150600,815730,1005000,4541100,686550,407700,5341700,2387100,3827800,551880,3712500,3699100,2551300
UBE2N,UBE2N,9867500,5469800,13472000,9082900,21068000,12620000,10533000,10967000,10655000,7482100,3224600,6677700,11842000,8120300,3602900,14667000,14354000,8883300
MYL6,MYL6,80125000,64316000,166970000,61076000,265470000,178630000,133560000,200160000,245170000,76480000,35378000,142610000,174240000,162070000,46447000,156890000,144160000,123680000
ARRB2,ARRB2,1919000,2499400,2884000,2075400,3452000,4353500,5222800,4801900,7783300,3152700,1057700,7013400,4914200,7328000,2332300,8104700,8022800,4049700
TBL2,TBL2,7607500,9335300,21895000,13818000,30537000,13942000,18298000,26950000,17508000,9962600,9252400,22741000,16958000,13725000,11692000,15277000,11190000,10985000
SCRB2,SCARB2,36549000,19822000,67879000,35871000,110890000,49835000,63131000,41213000,105340000,25259000,17633000,65701000,38319000,52400000,14734000,94183000,48991000,47645000
NAKD2,NADK2,3859600,10720000,7498200,2865500,26310000,5435900,6106200,7581100,14183000,2409100,9492800,7137300,5522000,5730000,611330,4755200,4470800,3020400
ELOV1,ELOVL1,842000,273590,2243300,1555200,9176100,1961300,7324600,8707800,4490100,828450,275170,132270,492100,612960,372390,1635700,1148400,372010
STAM1,STAM,4246900,3687200,18528000,6329000,32699000,11268000,9434100,13803000,20005000,3634800,2336300,5317200,11106000,6287300,2283800,16367000,14576000,8273200
