logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,protein
-1.2614856467138829,22.80432977966415,-3.1904884712647603,0.0034191834383283026,0.20125818328492134,-1.8049761070093844,LAMA4,9,-3.295535468276797,0.0024657130015816853,0.16749545161621554,LAMA4
-1.2494702639924817,24.483604519664617,-3.1919943371923494,0.003406095612475169,0.20125818328492134,-1.8015961298103678,TXNL1,8,-3.2880863637383713,0.0025144130974954315,0.16785875023279848,TXNL1
1.7802324514437302,23.19124174250565,3.15653147176319,0.003727418890287465,0.21113858650619707,-1.88100784098574,GALE,7,3.259064643900367,0.0027130898323451816,0.17805226831933124,GALE
-0.9786578887471045,23.01599396569675,-3.118838926000354,0.004100647814735412,0.21457148486548475,-1.9649782187346005,CSKP,10,-3.22262985114006,0.0029838566654452952,0.18563147819274925,CASK
-1.3091559996939068,23.04619291883579,-3.1161410432469947,0.004128688339070636,0.21457148486548475,-1.9709709866098155,P3H1,9,-3.220515031559206,0.0030003420252132677,0.18563147819274925,P3H1
-1.8197940163402357,20.017325419428964,-3.335774737973705,0.002355189639086997,0.18621265203817344,-1.4757965459441786,KAP3,1,-3.2189177619921843,0.003012850693401459,0.18563147819274925,PRKAR2B
-1.921288886429224,23.942275194756473,-3.2047168290239987,0.0032974205148940195,0.20125818328492134,-1.7730123538560045,GSTM3,2,-3.217963587045038,0.00302034688175186,0.18563147819274925,GSTM3
-0.992690583774138,22.42159609978434,-3.2824301607593727,0.0027023723357628387,0.18684974435845914,-1.5973661950657156,FPRP,3,-3.1915546040999843,0.0032350397478928604,0.19571990474751805,PTGFRN
-1.4862217518949628,24.360299010178657,-3.093648604992313,0.004369692998891441,0.21691604220138025,-2.020840664139132,CATG,6,-3.181148652362075,0.003323576182585929,0.19582772155922262,CTSG
-1.3235961073967601,21.894634662741474,-3.287591375457065,0.0026667410817619412,0.18684974435845914,-1.5856388457883313,SPB4,2,-3.1794816715276966,0.0033379725265776585,0.19582772155922262,SERPINB4
-1.0979854799161402,20.896606324385587,-3.362125872614427,0.0021999494061091854,0.18517835000988622,-1.4154558151807182,LAMB2,2,-3.1455822864239735,0.003643972411672341,0.21058897280590008,LAMB2
-1.271546453477967,22.822611200743207,-3.2551006383763585,0.0028988022119102574,0.1935200373192503,-1.659337448256748,TETN,2,-3.1352259314617035,0.0037426698546300444,0.21311202466364015,CLEC3B
-1.0842044512858244,24.939219964963833,-3.1078864108623305,0.004215624265585163,0.21457148486548475,-1.9892921831888568,TPM1,4,-3.1209082094559424,0.0038833219306555786,0.21401346155394854,TPM1
-0.9706476701822879,24.610644679276884,-2.9874650193336043,0.0057000298996807905,0.25384708525781235,-2.2539642561813054,DDX6,15,-3.1149028315886524,0.003943802698120167,0.21401346155394854,DDX6
1.4951260167424998,21.97750089623145,3.1528341003404816,0.0037625419599503092,0.21113858650619707,-1.8892647344213467,PCAT1,2,3.106867895542639,0.004026126964348335,0.21401346155394854,LPCAT1
